QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,QFCD3MCX,QFCD_MCX,FONPURCH,INTAWAY,INTAWAY_,INTAWYX,INTAWYX_,FONCARDX,FONC_RDX
20171,03394264,42,0,1,,A,,,A,,A,,A
20171,03394274,29,0,1,,A,,,A,,A,,A
20171,03394284,28,0,1,,A,,,A,,A,,A
20171,03394294,78,0,1,,A,,,A,,A,,A
20171,03394304,19,0,1,,A,,,A,,A,,A
20171,03394334,9,0,1,,A,,,A,,A,,A
20171,03394354,77,0,1,,A,,,A,,A,,A
20171,03394364,48,0,1,,A,,,A,,A,,A
20171,03394384,53,0,1,,A,,,A,,A,,A
20171,03394394,9,0,1,,A,,,A,,A,,A
20171,03394414,25,0,1,,A,,,A,,A,,A
20171,03394424,50,0,1,,A,,,A,,A,,A
20171,03394434,13,0,1,,A,,,A,,A,,A
20171,03394444,10,0,1,,A,,,A,,A,,A
20171,03394454,27,0,1,,A,,,A,,A,,A
20171,03394464,57,0,1,,A,,,A,,A,,A
20171,03394484,56,0,1,,A,,,A,,A,,A
20171,03394524,66,0,1,,A,,,A,,A,,A
20171,03394554,21,0,1,,A,,,A,,A,,A
20171,03394574,31,0,1,,A,,,A,,A,,A
20171,03394594,30,0,1,,A,,,A,,A,,A
20171,03394604,50,0,1,,A,,,A,,A,,A
20171,03394644,59,0,1,,A,,,A,,A,,A
20171,03394674,65,0,1,,A,,,A,,A,,A
20171,03394694,51,0,1,,A,,,A,,A,,A
20171,03394704,19,0,1,,A,,,A,,A,,A
20171,03394714,46,0,1,,A,,,A,,A,,A
20171,03394724,29,0,1,,A,,,A,,A,,A
20171,03394734,31,0,1,,A,,,A,,A,,A
20171,03394774,31,0,1,,A,,,A,,A,,A
20171,03394784,36,0,1,,A,,,A,,A,,A
20171,03394804,59,0,1,,A,,,A,,A,,A
20171,03394824,59,0,1,,A,,,A,,A,,A
20171,03394844,56,0,1,,A,,,A,,A,,A
20171,03394864,26,0,1,,A,,,A,,A,,A
20171,03394884,13,0,1,,A,,,A,,A,,A
20171,03394894,69,0,1,,A,,,A,,A,,A
20171,03394924,35,0,1,,A,,,A,,A,,A
20171,03394934,54,0,1,,A,,,A,,A,,A
20171,03394964,35,0,1,,A,,,A,,A,,A
20171,03394984,33,0,1,168,D,,,A,,A,,A
20171,03394994,31,0,1,,A,,,A,,A,,A
20171,03395034,43,0,1,,A,,,A,,A,,A
20171,03395054,48,0,1,,A,,,A,,A,,A
20171,03395074,32,0,1,,A,,,A,,A,,A
20171,03395084,11,0,1,,A,,,A,,A,,A
20171,03395124,32,0,1,,A,,,A,,A,,A
20171,03395144,19,0,1,,A,,,A,,A,,A
20171,03395174,8,0,1,,A,,,A,,A,,A
20171,03395184,8,0,1,,A,,,A,,A,,A
20171,03395194,39,0,1,,A,,,A,,A,,A
20171,03395204,34,0,1,,A,,,A,,A,,A
20171,03395214,53,0,1,,A,,,A,,A,,A
20171,03395254,83,0,1,40,D,,,A,,A,,A
20171,03395294,27,0,1,,A,,,A,,A,,A
20171,03395304,51,0,1,,A,,,A,,A,,A
20171,03395324,30,0,1,,A,,,A,,A,,A
20171,03395334,35,0,1,,A,,,A,,A,,A
20171,03395394,46,0,1,,A,,,A,,A,,A
20171,03395404,15,0,1,,A,,,A,,A,,A
20171,03395414,9,0,1,,A,,,A,,A,,A
20171,03395424,48,0,1,,A,,,A,,A,,A
