QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISCDE9_,MISPURCH
20181,03651464,15,0,1,250,D,12,D,1,D,53,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651474,72,0,1,210,D,01,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651474,73,0,1,390,D,11,D,1,D,42,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651474,74,0,1,390,D,12,D,1,D,92,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651474,75,0,1,390,D,13,D,2,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651474,76,0,1,390,D,01,D,1,D,92,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651474,77,0,1,390,D,01,D,2,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651474,78,0,1,330,D,12,D,2,D,225,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651474,79,0,1,240,D,12,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651474,80,0,1,240,D,12,D,1,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651474,81,0,1,240,D,12,D,2,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651474,82,0,1,240,D,01,D,2,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651474,83,0,2,390,D,11,D,1,D,26,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651484,24,0,1,370,D,13,D,1,D,41,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651524,16,0,1,390,D,13,D,1,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651554,20,0,1,330,D,12,D,2,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651654,29,0,1,180,D,13,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651654,30,0,2,330,D,11,D,2,D,14,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
