QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20171,03388964,37,0,2,420,D,1,D,10,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388994,7,0,1,110,D,1,D,11,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388994,8,0,1,120,D,1,D,11,D,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03388994,9,0,1,620,D,1,D,13,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389044,16,0,1,200,D,1,D,10,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389044,17,0,1,200,D,1,D,11,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389044,18,0,1,200,D,1,D,12,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389044,19,0,1,510,D,1,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389044,20,0,1,620,D,1,D,13,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389044,21,0,1,620,D,1,D,10,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389054,18,0,1,420,D,1,D,11,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389054,19,0,1,420,D,1,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389054,20,0,1,620,D,1,D,13,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389084,4,0,1,620,D,1,D,12,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389124,13,0,1,200,D,1,D,12,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389224,17,0,1,110,D,1,D,10,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389224,18,0,1,120,D,1,D,10,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389234,12,0,1,330,D,1,D,11,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389234,13,0,1,635,D,1,D,10,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A
20171,03389234,14,0,1,620,D,1,D,13,D,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389244,18,0,1,620,D,1,D,13,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389274,22,0,1,200,D,1,D,11,D,233,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389274,23,0,1,200,D,1,D,12,D,388,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389274,24,0,1,130,D,1,D,10,D,,H,120,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389274,24,1,1,120,D,1,D,10,D,335,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389274,24,2,1,110,D,1,D,10,D,115,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389274,25,0,1,420,D,1,D,10,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389274,26,0,1,420,D,1,D,11,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389274,27,0,1,510,D,1,D,11,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389274,28,0,1,620,D,1,D,10,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389274,29,0,1,620,D,1,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389274,30,0,1,620,D,1,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389354,13,0,1,200,D,1,D,11,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389354,14,0,1,620,D,1,D,13,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389434,11,0,1,620,D,1,D,13,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389434,12,0,2,420,D,1,D,10,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389474,26,0,1,120,D,1,D,10,D,223,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389474,27,0,1,420,D,1,D,11,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20171,03389474,28,0,1,620,D,1,D,13,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
