QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20174,03590524,35,0,1,420,D,10,D,68,D,,A,,A,,A,,A
20174,03590554,45,0,1,400,D,10,D,40,F,,A,,A,,A,,A
20174,03590674,57,0,1,430,D,10,D,,H,415,D,410,D,,A,,A
20174,03590674,57,1,1,420,D,10,D,145,E,,A,,A,,A,,A
20174,03590684,52,0,1,400,D,10,D,50,D,,A,,A,,A,,A
20174,03590684,53,0,1,420,D,10,D,200,D,,A,,A,,A,,A
20174,03590704,57,0,1,400,D,09,D,130,D,,A,,A,,A,,A
20174,03590744,32,0,1,410,D,09,D,45,D,,A,,A,,A,,A
20174,03590764,56,0,2,405,D,08,D,65,D,,A,,A,,A,,A
20174,03590764,57,0,2,405,D,08,D,200,D,,A,,A,,A,,A
20174,03590794,49,0,2,410,D,08,D,163,D,,A,,A,,A,,A
20174,03590834,76,0,1,405,D,10,D,250,D,,A,,A,,A,,A
20174,03590834,77,0,2,420,D,08,D,80,D,,A,,A,,A,,A
20174,03590864,17,0,1,400,D,08,D,144,D,,A,,A,,A,,A
20174,03591124,93,0,1,410,D,10,D,14,D,,A,,A,,A,,A
20174,03591174,14,0,1,420,D,09,D,48,D,,A,,A,,A,,A
20174,03591264,11,0,1,400,D,09,D,26,D,,A,,A,,A,,A
20174,03591654,44,0,1,405,D,09,D,330,D,,A,,A,,A,,A
20174,03591784,61,0,1,400,D,08,D,27,D,,A,,A,,A,,A
20174,03591784,62,0,1,420,D,09,D,18,D,,A,,A,,A,,A
20174,03591784,63,0,1,420,D,09,D,13,D,,A,,A,,A,,A
20174,03591894,101,0,1,420,D,09,D,180,D,,A,,A,,A,,A
20174,03591914,42,0,1,410,D,08,D,25,D,,A,,A,,A,,A
20174,03591964,64,0,1,400,D,10,D,40,D,,A,,A,,A,,A
20174,03591964,65,0,1,405,D,10,D,220,D,,A,,A,,A,,A
20174,03591964,66,0,1,420,D,09,D,23,D,,A,,A,,A,,A
20174,03591964,67,0,2,420,D,08,D,24,D,,A,,A,,A,,A
20174,03591994,42,0,2,420,D,08,D,69,D,,A,,A,,A,,A
20174,03592024,42,0,1,420,D,09,D,200,D,,A,,A,,A,,A
20174,03592084,17,0,1,410,D,10,D,60,D,,A,,A,,A,,A
20174,03592104,47,0,1,420,D,10,D,583,D,,A,,A,,A,,A
20174,03592154,109,0,1,400,D,09,D,36,D,,A,,A,,A,,A
