"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20152","02970863",29,0,"2","400","D","01","D",33,"D",,"A",,"A",,"A",,"A"
"20152","02971153",42,0,"2","420","D","01","D",79,"D",,"A",,"A",,"A",,"A"
"20152","02971313",44,0,"1","420","D","02","D",35,"D",,"A",,"A",,"A",,"A"
"20152","02971313",45,0,"1","420","D","02","D",35,"D",,"A",,"A",,"A",,"A"
"20152","02971543",15,0,"1","405","D","03","D",188,"F",,"A",,"A",,"A",,"A"
"20152","02971653",32,0,"2","420","D","01","D",326,"D",,"A",,"A",,"A",,"A"
"20152","02971653",33,0,"2","410","D","01","D",40,"D",,"A",,"A",,"A",,"A"
"20152","02971753",29,0,"2","405","D","01","D",114,"D",,"A",,"A",,"A",,"A"
"20152","02971793",19,0,"1","420","D","03","D",36,"D",,"A",,"A",,"A",,"A"
"20152","02971863",43,0,"1","420","D","01","D",101,"D",,"A",,"A",,"A",,"A"
"20152","02972003",47,0,"1","400","D","03","D",74,"D",,"A",,"A",,"A",,"A"
"20152","02972003",48,0,"1","420","D","03","D",100,"D",,"A",,"A",,"A",,"A"
"20152","02972133",40,0,"1","420","D","03","D",210,"D",,"A",,"A",,"A",,"A"
"20152","02972163",62,0,"1","405","D","01","D",240,"D",,"A",,"A",,"A",,"A"
"20152","02972333",24,0,"1","400","D","03","D",33,"D",,"A",,"A",,"A",,"A"
"20152","02972333",25,0,"1","420","D","03","D",179,"D",,"A",,"A",,"A",,"A"
"20152","02972433",27,0,"1","420","D","03","D",18,"D",,"A",,"A",,"A",,"A"
"20152","02972793",26,0,"1","420","D","03","D",200,"D",,"A",,"A",,"A",,"A"
"20152","02972893",51,0,"2","420","D","01","D",58,"F",,"A",,"A",,"A",,"A"
"20152","02973063",58,0,"1","405","D","01","D",39,"D",,"A",,"A",,"A",,"A"
"20152","02973403",24,0,"1","400","D","02","D",20,"D",,"A",,"A",,"A",,"A"
"20152","02973493",55,0,"1","420","D","01","D",10,"D",,"A",,"A",,"A",,"A"
"20152","02973943",62,0,"1","420","D","02","D",36,"D",,"A",,"A",,"A",,"A"
"20152","02974013",46,0,"1","410","D","03","D",39,"D",,"A",,"A",,"A",,"A"
"20152","02974013",47,0,"2","420","D","01","D",65,"D",,"A",,"A",,"A",,"A"
"20152","02974043",50,0,"2","400","D","01","D",36,"D",,"A",,"A",,"A",,"A"
"20152","02974063",25,0,"1","405","D","03","D",272,"D",,"A",,"A",,"A",,"A"
"20152","02974073",65,0,"1","410","D","03","D",30,"D",,"A",,"A",,"A",,"A"
"20152","02974103",22,0,"1","400","D","03","D",15,"D",,"A",,"A",,"A",,"A"
"20152","02974143",63,0,"1","420","D","03","D",117,"D",,"A",,"A",,"A",,"A"
"20152","02974183",35,0,"2","400","D","01","D",33,"D",,"A",,"A",,"A",,"A"
"20152","02974263",36,0,"1","420","D","03","D",200,"D",,"A",,"A",,"A",,"A"
"20152","02974333",46,0,"1","420","D","03","D",120,"D",,"A",,"A",,"A",,"A"
"20152","02974433",23,0,"1","410","D","03","D",120,"D",,"A",,"A",,"A",,"A"
"20152","02974453",60,0,"1","420","D","03","D",103,"D",,"A",,"A",,"A",,"A"
"20152","02974453",61,0,"1","400","D","03","D",30,"D",,"A",,"A",,"A",,"A"
"20152","02974663",27,0,"1","420","D","02","D",130,"D",,"A",,"A",,"A",,"A"
